epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,1758.19,0.69362,0.45948,0.88384,0.75224,0.75645,0.77958,0.48589,1.2273,0.92751,1.11751,0.000255731,0.000255731,0.000255731
107,1774.49,0.70167,0.46203,0.88981,0.79339,0.73295,0.78787,0.47889,1.23355,0.92546,1.12136,0.000250233,0.000250233,0.000250233
108,1791.08,0.67383,0.44693,0.88032,0.74188,0.75318,0.77682,0.47788,1.25658,0.93883,1.12348,0.000244735,0.000244735,0.000244735
109,1807.8,0.69244,0.46188,0.88798,0.77169,0.73057,0.7703,0.47806,1.24059,0.94256,1.11764,0.000239238,0.000239238,0.000239238
110,1824.48,0.67987,0.44968,0.88147,0.82017,0.74755,0.79684,0.48112,1.27893,0.96872,1.14021,0.00023374,0.00023374,0.00023374
111,1841,0.68008,0.4433,0.87886,0.77091,0.73171,0.77197,0.48502,1.24383,0.90897,1.12098,0.000228242,0.000228242,0.000228242
112,1857.71,0.66632,0.43685,0.88356,0.83177,0.67763,0.76902,0.46519,1.2562,0.95922,1.1284,0.000222744,0.000222744,0.000222744
113,1874.33,0.67681,0.43653,0.87703,0.76561,0.70741,0.76883,0.46781,1.27597,0.95099,1.15107,0.000217246,0.000217246,0.000217246
114,1891.13,0.66381,0.43544,0.87245,0.76385,0.72464,0.77109,0.47321,1.26561,0.94859,1.14051,0.000211749,0.000211749,0.000211749
115,1907.82,0.65937,0.43393,0.88065,0.79023,0.69386,0.75713,0.45882,1.26712,0.97579,1.14825,0.000206251,0.000206251,0.000206251
116,1924.67,0.66312,0.4439,0.88323,0.75815,0.71902,0.74799,0.46995,1.2615,0.99683,1.13665,0.000200753,0.000200753,0.000200753
117,1942.88,0.66755,0.43788,0.87814,0.78485,0.69081,0.7473,0.464,1.24422,0.99821,1.13574,0.000195255,0.000195255,0.000195255
118,1959.46,0.66644,0.43052,0.87606,0.77212,0.71894,0.7606,0.46908,1.24878,0.99464,1.13418,0.000189757,0.000189757,0.000189757
119,1975.96,0.6577,0.42817,0.87534,0.73401,0.74461,0.76796,0.47329,1.24679,0.97597,1.13231,0.00018426,0.00018426,0.00018426
120,1992.67,0.65639,0.42936,0.88027,0.79749,0.69369,0.77995,0.47427,1.26931,0.96239,1.13328,0.000178762,0.000178762,0.000178762
121,2009.21,0.63385,0.41126,0.87179,0.82446,0.67221,0.77138,0.47444,1.24438,1.01923,1.13298,0.000173264,0.000173264,0.000173264
122,2025.9,0.64752,0.42053,0.87193,0.72591,0.7345,0.76516,0.47009,1.23713,0.99764,1.13569,0.000167766,0.000167766,0.000167766
123,2042.58,0.6414,0.42131,0.87907,0.82608,0.69552,0.7682,0.4667,1.25653,0.97999,1.13038,0.000162268,0.000162268,0.000162268
124,2059.97,0.64053,0.42545,0.87872,0.82174,0.69691,0.77702,0.47035,1.26046,0.9667,1.13441,0.000156771,0.000156771,0.000156771
125,2076.52,0.64448,0.41508,0.87184,0.78347,0.70625,0.76702,0.47232,1.24254,0.98247,1.12652,0.000151273,0.000151273,0.000151273
126,2093.08,0.64944,0.42169,0.87277,0.74774,0.74932,0.77347,0.47005,1.25023,0.98468,1.1325,0.000145775,0.000145775,0.000145775
127,2109.7,0.63674,0.41448,0.86726,0.80099,0.70528,0.76591,0.47313,1.2527,0.96805,1.13949,0.000140277,0.000140277,0.000140277
128,2126.27,0.64325,0.41801,0.87329,0.79906,0.70407,0.76632,0.47387,1.24972,0.96252,1.13572,0.000134779,0.000134779,0.000134779
129,2142.95,0.63025,0.41322,0.87877,0.79198,0.72099,0.76253,0.47079,1.24512,0.96015,1.13252,0.000129282,0.000129282,0.000129282
130,2159.52,0.6332,0.41345,0.87374,0.74869,0.70539,0.75246,0.46831,1.2607,0.98532,1.13132,0.000123784,0.000123784,0.000123784
131,2175.86,0.61408,0.40155,0.864,0.8244,0.66847,0.75794,0.47187,1.23149,0.98213,1.11679,0.000118286,0.000118286,0.000118286
132,2192.45,0.61949,0.41493,0.87315,0.81276,0.66621,0.75675,0.47804,1.24123,0.97787,1.12952,0.000112788,0.000112788,0.000112788
133,2208.83,0.60982,0.40204,0.86501,0.83464,0.68182,0.77396,0.47348,1.25543,0.96082,1.13561,0.00010729,0.00010729,0.00010729
134,2225.42,0.62214,0.40727,0.86011,0.81471,0.69448,0.77887,0.47828,1.21825,0.94692,1.11662,0.000101793,0.000101793,0.000101793
135,2242.14,0.6236,0.40928,0.86573,0.76093,0.72665,0.76796,0.48112,1.22295,0.95916,1.11572,9.62948e-05,9.62948e-05,9.62948e-05
136,2258.65,0.62589,0.40744,0.86802,0.79344,0.70347,0.77006,0.47873,1.24948,0.98381,1.12704,9.0797e-05,9.0797e-05,9.0797e-05
137,2275.35,0.60937,0.39843,0.8693,0.79067,0.71381,0.76615,0.47628,1.24812,0.97498,1.1261,8.52992e-05,8.52992e-05,8.52992e-05
138,2291.95,0.6186,0.40087,0.86364,0.77999,0.70539,0.76684,0.47924,1.24285,0.9515,1.12669,7.98014e-05,7.98014e-05,7.98014e-05
139,2308.42,0.59919,0.3993,0.86593,0.79092,0.70821,0.76496,0.47844,1.25942,0.96664,1.13393,7.43036e-05,7.43036e-05,7.43036e-05
